Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1982,.14,.06,.22,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.12
1983,.31,.25,.37,.22,.43,.23,.19,.69,-.07,.29,.57,.21,.41,-.02
1984,.15,.04,.27,.02,.18,.26,.37,.08,-.14,.07,.29,.16,.32,.47
1985,.11,.00,.23,-.03,.09,.30,.39,-.27,-.01,.04,.14,.30,.44,.00
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.18,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.38,.37,.39,.40,.37,.38,.59,.57,.24,.33,.42,.38,.20,.77
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.07,.18,.36,.30,.31
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.36,.37,.37,.39
1991,.40,.41,.39,.47,.36,.39,.75,.66,.26,.33,.40,.31,.29,.89
1992,.22,.14,.30,.10,.28,.26,-.16,.44,-.03,.20,.36,.20,.33,.35
1993,.23,.19,.27,.12,.32,.22,.54,.29,-.11,.29,.35,.26,.39,-.31
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.29,.34,.26,.23,-.06
1995,.45,.58,.31,.70,.43,.22,1.31,.98,.32,.41,.44,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.16,.10,.31,.32,.32,.28,1.20
1997,.47,.52,.41,.53,.51,.34,.76,.90,.23,.50,.52,.42,.36,.02
1998,.61,.71,.52,.78,.69,.33,.86,.94,.66,.60,.79,.39,.31,.18
1999,.39,.48,.29,.70,.20,.31,.40,.80,.74,.16,.25,.46,.19,.05
2000,.39,.50,.29,.70,.25,.29,.97,.80,.55,.21,.28,.42,.10,.27
2001,.54,.64,.43,.81,.42,.43,1.07,.86,.69,.41,.44,.58,.24,.31
2002,.63,.72,.54,.83,.59,.47,1.26,1.00,.58,.55,.64,.49,.32,.75
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.54,.62,.67,.44,.24,.45
2004,.54,.66,.42,.73,.55,.34,.47,.96,.66,.56,.54,.48,.23,.07
2005,.68,.86,.51,1.02,.62,.43,1.99,1.22,.57,.62,.62,.49,.19,.72
2006,.64,.82,.46,.99,.56,.40,1.73,1.06,.70,.57,.55,.51,.20,.45
2007,.66,.85,.46,1.13,.46,.46,2.12,1.32,.69,.45,.48,.50,.07,1.17
2008,.54,.68,.40,.92,.38,.39,1.54,1.08,.62,.34,.41,.53,.09,.57
2009,.66,.73,.59,.78,.68,.50,1.43,.60,.69,.66,.71,.60,.15,.92
2010,.72,.90,.55,1.03,.69,.47,2.22,.87,.74,.72,.65,.64,.20,.47
2011,.61,.75,.46,.99,.37,.54,2.35,.94,.58,.39,.35,.64,.18,1.00
2012,.64,.82,.47,1.04,.53,.40,2.21,.93,.74,.48,.58,.56,.19,.28
2013,.68,.80,.56,.95,.58,.55,1.55,1.04,.70,.58,.58,.63,.23,.99
2014,.75,.92,.57,1.07,.67,.52,2.04,1.12,.73,.69,.65,.72,.18,.53
2015,.90,1.18,.63,1.32,.96,.41,1.99,1.47,1.00,.98,.94,.75,.18,-.35
2016,1.02,1.31,.73,1.55,1.02,.49,3.24,1.43,1.08,.96,1.07,.67,.26,.37
2017,.92,1.18,.67,1.39,.82,.59,2.51,1.37,1.05,.87,.77,.76,.35,.53
2018,.85,1.04,.66,1.25,.69,.68,2.15,1.09,1.06,.74,.63,.80,.38,.94
2019,.98,1.22,.75,1.42,.91,.65,2.69,1.43,1.00,.92,.90,.75,.39,.84
